,verbatimScientificName,verbatimTraitName,verbatimTraitValue,verbatimTraitValueSD,verbatimTraitValueCV,verbatimTraitValueType,verbatimTraitMethod,verbatimTraitUnit,verbatimN1,verbatimN1Unit,verbatimN2,verbatimN2Unit,Area,ShortReference,FullReference,AdditionalInfo1,AdditionalInfo2,AdditionalInfo3
81,Myotis_daubentonii,Linage,3,NA,NA,Maximum,"Sequence_length_bp_OR_Number_of_markers:__Cytb,_CR_(1078)",Number_of_genetic_lineages,1078,individual,NA,NA,Europe,Nardone (2015),"Nardone, V. (2015). Ecology and phylogeography of the riparian habitat specialist Myotis daubentonii.",NA,NA,NA
82,Myotis_daubentonii,NF,56,NA,NA,Maximum,NA,Number_of_chromosomal_arms,NA,NA,NA,NA,Greece,Volleth (1987),"Volleth, M. (1987). Differences in the location of nucleolus organizer regions in European vespertilionid bats. Cytogenetic and Genome Research, 44(4), 186-197.",NA,NA,NA
83,Myotis_daubentonii,NFa,52,NA,NA,Maximum,NA,Number_of_autosomal_arms,NA,NA,NA,NA,Greece,Volleth (1987),"Volleth, M. (1987). Differences in the location of nucleolus organizer regions in European vespertilionid bats. Cytogenetic and Genome Research, 44(4), 186-197.",NA,NA,NA
84,Myotis_daubentonii,Karyotype,44,NA,NA,Maximum,NA,Number_of_chromosomes,NA,NA,NA,NA,Greece,Volleth (1987),"Volleth, M. (1987). Differences in the location of nucleolus organizer regions in European vespertilionid bats. Cytogenetic and Genome Research, 44(4), 186-197.",NA,NA,NA
85,Myotis_daubentonii,NFa,52,NA,NA,Maximum,NA,Number_of_autosomal_arms,NA,NA,NA,NA,NA,Zima & HorÃ¡Äek (1985),"Zima, J. (1985). Synopsis of karyotypes of vespertilionid bats (Mammalia: Chiroptera). Acta Univ. Carol. Biol., 1981, 311-329.",NA,NA,NA
86,Myotis_daubentonii,Karyotype,44,NA,NA,Maximum,NA,Number_of_chromosomes,NA,NA,NA,NA,NA,Zima & HorÃ¡Äek (1985),"Zima, J. (1985). Synopsis of karyotypes of vespertilionid bats (Mammalia: Chiroptera). Acta Univ. Carol. Biol., 1981, 311-329.",NA,NA,NA
87,Myotis_davidii,Linage,2,NA,NA,Maximum,Sequence_length_bp_OR_Number_of_markers:__ND1_(450),Number_of_genetic_lineages,450,individual,NA,NA,full_range,Ã‡oraman et al. (2020),"Ã‡oraman, E., Dundarova, H., Dietz, C., & Mayer, F. (2020). Patterns of mtDNA introgression suggest population replacement in Palaearctic whiskered bat species. Royal Society open science, 7(6), 191805.",NA,NA,NA
88,Myotis_davidii,CompleteMitochondrialGenome(bp),17531,NA,NA,Maximum,NA,base_pairs,NA,NA,NA,NA,NA,Wang et al. (2016),"Wang, S. Q., Li, Y. J., Yin, A. G., Zhang, W., Jiang, J. J., Wang, W. L., & Hu, M. (2016). The complete mitochondrial genome of Davidâ€™s myotis, Myotis davidii (Myotis, Vespertilionidae). Mitochondrial DNA Part A, 27(3), 1587-1588.",NA,NA,NA
90,Myotis_davidii,GenomeSize_(Gb),2,NA,NA,Maximum,NA,Giga_base_pairs,NA,NA,NA,NA,NA,Zhang et al. (2013),"Zhang, G., Cowled, C., Shi, Z., Huang, Z., Bishop-Lilly, K. A., Fang, X., ... & Wang, J. (2013). Comparative analysis of bat genomes provides insight into the evolution of flight and immunity. Science, 339(6118), 456-460.",NA,NA,NA
91,Myotis_emarginatus,Linage,1,NA,NA,Maximum,"Sequence_length_bp_OR_Number_of_markers:__Cytb,_ND1",Number_of_genetic_lineages,NA,NA,NA,NA,NA,Ã‡oraman et al. (2013),"Coraman, E., Furman, A., KarataÅŸ, A., & Bilgin, R. (2013). Phylogeographic analysis of Anatolian bats highlights the importance of the region for preserving the Chiropteran mitochondrial genetic diversity in the Western Palaearctic. Conservation Genetics, 14(6), 1205-1216.",NA,NA,NA
92,Myotis_emarginatus,AllelicRichness,6,1.2,0.19,mean,Sequence length bp OR Number of markers: _microsatellites,Number_of_alleles,NA,NA,NA,NA,"Italy, Spain, Morocco",Viglino (2012),"Viglino, A. (2012). Study of variability and genetic structure of European populations of Myotis emarginatus and Myotis capaccinii (Chiroptera, Vespertilionidae).",Range: 3.0-7.8,NA,NA
93,Myotis_emarginatus,GeneticPopulationStructure,2,NA,NA,Maximum,Sequence length bp OR Number of markers: _microsatellites_13,Number_of_sub-populations,NA,NA,NA,NA,"Italy, Spain, Morocco",Viglino et al. (2016),"Viglino, A., Caniglia, R., Ruiz-Gonzalez, A., Russo, D., Galaverni, M., Toffoli, R., ... & Randi, E. (2016). What can we learn from faeces? Assessing genotyping success and genetic variability in three mouse-eared bat species from non-invasive genetic sampling. Hystrix, the Italian Journal of Mammalogy, 27(2).",NA,NA,NA
94,Myotis_emarginatus,NFa,52,NA,NA,Maximum,NA,Number_of_autosomal_arms,NA,NA,NA,NA,NA,Volleth (1989),"Volleth, M. (1989). Karyotypevolution und Phylogenie der Vespertilionidae (Mammalia: Chiroptera) (Doctoral dissertation, Uitgever niet vastgesteld).",NA,NA,NA
95,Myotis_emarginatus,NF,56,NA,NA,Maximum,NA,Number_of_chromosomal_arms,NA,NA,NA,NA,NA,Volleth (1989),"Volleth, M. (1989). Karyotypevolution und Phylogenie der Vespertilionidae (Mammalia: Chiroptera) (Doctoral dissertation, Uitgever niet vastgesteld).",NA,NA,NA
96,Myotis_emarginatus,Karyotype,44,NA,NA,Maximum,NA,Number_of_chromosomes,NA,NA,NA,NA,NA,Volleth (1989),"Volleth, M. (1989). Karyotypevolution und Phylogenie der Vespertilionidae (Mammalia: Chiroptera) (Doctoral dissertation, Uitgever niet vastgesteld).",NA,NA,NA
97,Myotis_escalerai,Hybridization,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ã‡oraman et al. (2019),"Ã‡oraman, E., Dietz, C., Hempel, E., Ghazaryan, A., Levin, E., Presetnik, P., ... & Mayer, F. (2019). Reticulate evolutionary history of a Western Palaearctic Bat Complex explained by multiple mt DNA introgressions in secondary contacts. Journal of Biogeography, 46(2), 343-354.",NA,NA,NA
98,Myotis_escalerai,Linage,3,NA,NA,Maximum,Sequence_length_bp_OR_Number_of_markers:__Cytb_(750),Number_of_genetic_lineages,750,individual,NA,NA,full_range,Razgour et al. (2015),"Razgour, O., Salicini, I., IbÃ¡Ã±ez, C., Randi, E., & Juste, J. (2015). Unravelling the evolutionary history and future prospects of endemic species restricted to former glacial refugia. Molecular ecology, 24(20), 5267-5283.",NA,NA,NA
99,Myotis_escalerai,AllelicRichness,6,0.88,0.16,mean,Sequence length bp OR Number of markers: _microsatellites,Number_of_alleles,NA,NA,NA,NA,full_range,Razgour et al. (2015),"Razgour, O., Salicini, I., IbÃ¡Ã±ez, C., Randi, E., & Juste, J. (2015). Unravelling the evolutionary history and future prospects of endemic species restricted to former glacial refugia. Molecular ecology, 24(20), 5267-5283.",Range: 3.1-6.8,NA,NA
100,Myotis_escalerai,GeneticPopulationStructure,3,NA,NA,Maximum,Sequence length bp OR Number of markers: _snps_17289,Number_of_sub-populations,NA,NA,NA,NA,full_range,Razgour et al. (2019),"Razgour, O., Forester, B., Taggart, J. B., Bekaert, M., Juste, J., IbÃ¡Ã±ez, C., ... & Manel, S. (2019). Considering adaptive genetic variation in climate change vulnerability assessment reduces species range loss projections. Proceedings of the National Academy of Sciences, 116(21), 10418-10423.",NA,NA,NA
101,Myotis_myotis,Hybridization,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,France,Afonso et al. (2017),"Afonso, E., Goydadin, A. C., Giraudoux, P., & Farny, G. (2017). Investigating hybridization between the two sibling bat species Myotis myotis and M. blythii from guano in a natural mixed maternity colony. PLoS One, 12(2), e0170534.",NA,NA,NA
102,Myotis_myotis,Hybridization,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Switzerland, Italy",Berthier et al. (2006),"Berthier, P., Excoffier, L., & Ruedi, M. (2006). Recurrent replacement of mtDNA and cryptic hybridization between two sibling bat species Myotis myotis and Myotis blythii. Proceedings of the Royal Society B: Biological Sciences, 273(1605), 3101-3123.",NA,NA,NA
103,Myotis_myotis,Linage,2,NA,NA,Maximum,"Sequence_length_bp_OR_Number_of_markers:__Cytb,_ND1",Number_of_genetic_lineages,NA,NA,NA,NA,NA,Ã‡oraman et al. (2013),"Coraman, E., Furman, A., KarataÅŸ, A., & Bilgin, R. (2013). Phylogeographic analysis of Anatolian bats highlights the importance of the region for preserving the Chiropteran mitochondrial genetic diversity in the Western Palaearctic. Conservation Genetics, 14(6), 1205-1216.",NA,NA,NA
104,Myotis_myotis,GeneticPopulationStructure,3,NA,NA,Maximum,Sequence length bp OR Number of markers: _microsatellites_8,Number_of_sub-populations,NA,NA,NA,NA,full_range,Furman et al. (2014),"Furman, A., Coraman, E., Ã‡elik, Y. E., Postawa, T., Bachanek, J., & Ruedi, M. (2014). Cytonuclear discordance and the species status of M yotis myotis and M yotis blythii (C hiroptera). Zoologica Scripta, 43(6), 549-561.",NA,NA,NA
105,Myotis_myotis,GenomeSize_(Gb),2,NA,NA,Maximum,NA,Giga_base_pairs,NA,NA,NA,NA,NA,Jebb et al. (2020),"Jebb, D., Huang, Z., Pippel, M., Hughes, G. M., Lavrichenko, K., Devanna, P., ... & Teeling, E. C. (2020). Six reference-quality genomes reveal evolution of bat adaptations. Nature, 583(7817), 578-584.",NA,NA,NA
106,Myotis_myotis,AllelicRichness,9,NA,NA,mean,Sequence length bp OR Number of markers: _microsatellites,Number_of_alleles,NA,NA,NA,NA,Europe,Ruedi & Castella (2003),"Ruedi, M., & Castella, V. (2003). Genetic consequences of the ice ages on nurseries of the bat Myotis myotis: a mitochondrial and nuclear survey. Molecular Ecology, 12(6), 1527-1540.",Range: 6.5-10.0,NA,NA
107,Myotis_myotis,Karyotype,44,NA,NA,Maximum,Sequence_length_bp_OR_Number_of_markers:_Fluorescence_in-situ_hybridization,Number_of_chromosomes,NA,NA,NA,NA,Germany,Volleth et al. (2002),"Volleth, M., Heller, K. G., Pfeiffer, R. A., & Hameister, H. (2002). A comparative ZOO-FISH analysis in bats elucidates the phylogenetic relationships between Megachiroptera and five microchiropteran families. Chromosome Research, 10(6), 477-497.",NA,NA,NA
108,Myotis_mystacinus,AllelicRichness,4,0.14,0.03,mean,Sequence length bp OR Number of markers: _microsatellites,Number_of_alleles,NA,NA,NA,NA,Poland,Bogdanowicz et al. (2012a),"Bogdanowicz, W., Piksa, K., & Tereba, A. (2012a). Genetic structure in three species of whiskered bats (genus Myotis) during swarming. Journal of Mammalogy, 93(3), 799-807.",Range: 4.18-4.65,NA,NA
109,Myotis_mystacinus,Linage,2,NA,NA,Maximum,Sequence_length_bp_OR_Number_of_markers:__ND1_(450),Number_of_genetic_lineages,450,individual,NA,NA,full_range,Ã‡oraman et al. (2020),"Ã‡oraman, E., Dundarova, H., Dietz, C., & Mayer, F. (2020). Patterns of mtDNA introgression suggest population replacement in Palaearctic whiskered bat species. Royal Society open science, 7(6), 191805.",NA,NA,NA
110,Myotis_mystacinus,Hybridization,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Turkey, Balkans, Poland",Ã‡oraman et al. (2020),"Ã‡oraman, E., Dundarova, H., Dietz, C., & Mayer, F. (2020). Patterns of mtDNA introgression suggest population replacement in Palaearctic whiskered bat species. Royal Society open science, 7(6), 191805.",NA,NA,NA
111,Myotis_mystacinus,NFa,50,NA,NA,Maximum,NA,Number_of_autosomal_arms,NA,NA,NA,NA,NA,Volleth (1987),"Volleth, M. (1987). Differences in the location of nucleolus organizer regions in European vespertilionid bats. Cytogenetic and Genome Research, 44(4), 186-197.",NA,NA,NA
112,Myotis_mystacinus,NF,54,NA,NA,Maximum,NA,Number_of_chromosomal_arms,NA,NA,NA,NA,NA,Volleth (1987),"Volleth, M. (1987). Differences in the location of nucleolus organizer regions in European vespertilionid bats. Cytogenetic and Genome Research, 44(4), 186-197.",NA,NA,NA
113,Myotis_mystacinus,Karyotype,44,NA,NA,Maximum,NA,Number_of_chromosomes,NA,NA,NA,NA,NA,Volleth (1987),"Volleth, M. (1987). Differences in the location of nucleolus organizer regions in European vespertilionid bats. Cytogenetic and Genome Research, 44(4), 186-197.",NA,NA,NA
114,Myotis_nattereri,Hybridization,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Italy,Ã‡oraman et al. (2019),"Ã‡oraman, E., Dietz, C., Hempel, E., Ghazaryan, A., Levin, E., Presetnik, P., ... & Mayer, F. (2019). Reticulate evolutionary history of a Western Palaearctic Bat Complex explained by multiple mt DNA introgressions in secondary contacts. Journal of Biogeography, 46(2), 343-354.",NA,NA,NA
115,Myotis_nattereri,GeneticPopulationStructure,3,NA,NA,Maximum,Sequence length bp OR Number of markers: _microsatellites_19,Number_of_sub-populations,NA,NA,NA,NA,Germany,Halczok et al. (2017),"Halczok, T. K., Fischer, K., Gierke, R., Zeus, V., Meier, F., TreÃŸ, C., ... & Kerth, G. (2017). Evidence for genetic variation in Nattererâ€™s bats (Myotis nattereri) across three regions in Germany but no evidence for co-variation with their associated astroviruses. BMC evolutionary biology, 17(1), 1-11.",NA,NA,NA
116,Myotis_nattereri,AllelicRichness,8,0.65,0.08,mean,Sequence length bp OR Number of markers: _microsatellites,Number_of_alleles,NA,NA,NA,NA,UnitedKingdom,Rivers et al. (2005),"Rivers, N. M., Butlin, R. K., & Altringham, J. D. (2005). Genetic population structure of Natterer's bats explained by mating at swarming sites and philopatry. Molecular Ecology, 14(14), 4299-4312.",Range: 6.43-8.71,NA,NA
117,Myotis_nattereri,Linage,2,NA,NA,Maximum,"Sequence_length_bp_OR_Number_of_markers:__Cytb,_ND1,_CR_(1570)",Number_of_genetic_lineages,1570,individual,NA,NA,Europe,Salicini et al. (2013),"Salicini, I., IbÃ¡Ã±ez, C., & Juste, J. (2013). Deep differentiation between and within Mediterranean glacial refugia in a flying mammal, the Myotis nattereri bat complex. Journal of Biogeography, 40(6), 1182-1193.",NA,NA,NA
118,Myotis_nattereri,NFa,52,NA,NA,Maximum,NA,Number_of_autosomal_arms,NA,NA,NA,NA,NA,Zima & KrÃ¡l (1984),"Zima, J. (1984). Karyotypes of European mammals I. Acta Sciences of Nature Brno, 18, 1-51.",NA,NA,NA
119,Myotis_nattereri,NF,56,NA,NA,Maximum,NA,Number_of_chromosomal_arms,NA,NA,NA,NA,NA,Zima & KrÃ¡l (1984),"Zima, J. (1984). Karyotypes of European mammals I. Acta Sciences of Nature Brno, 18, 1-51.",NA,NA,NA
120,Myotis_nattereri,Karyotype,44,NA,NA,Maximum,NA,Number_of_chromosomes,NA,NA,NA,NA,NA,Zima & KrÃ¡l (1984),"Zima, J. (1984). Karyotypes of European mammals I. Acta Sciences of Nature Brno, 18, 1-51.",NA,NA,NA
121,Myotis_punicus,Hybridization,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Castella et al. (2000),"Castella, V., Ruedi, M., Excoffier, L., IbÃ¡Ã±ez, C., Arlettaz, R., & Hausser, J. (2000). Is the Gibraltar Strait a barrier to gene flow for the bat Myotis myotis (Chiroptera: Vespertilionidae)?. Molecular ecology, 9(11), 1761-1772.",NA,NA,NA
122,Myotis_punicus,Hybridization,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Switzerland, Italy",Berthier et al. (2006),"Berthier, P., Excoffier, L., & Ruedi, M. (2006). Recurrent replacement of mtDNA and cryptic hybridization between two sibling bat species Myotis myotis and Myotis blythii. Proceedings of the Royal Society B: Biological Sciences, 273(1605), 3101-3123.",NA,NA,NA
123,Myotis_punicus,Linage,3,NA,NA,Maximum,Sequence_length_bp_OR_Number_of_markers:__CR_(312),Number_of_genetic_lineages,312,individual,NA,NA,full_range,Biollaz et al. (2010),"Biollaz, F., Bruyndonckx, N., Beuneux, G., Mucedda, M., Goudet, J., & Christe, P. (2010). Genetic isolation of insular populations of the Maghrebian bat, Myotis punicus, in the Mediterranean Basin. Journal of Biogeography, 37(8), 1557-1569.",NA,NA,NA
124,Myotis_punicus,GeneticPopulationStructure,3,NA,NA,Maximum,Sequence length bp OR Number of markers: _microsatellites_7,Number_of_sub-populations,NA,NA,NA,NA,full_range,Biollaz et al. (2010),"Biollaz, F., Bruyndonckx, N., Beuneux, G., Mucedda, M., Goudet, J., & Christe, P. (2010). Genetic isolation of insular populations of the Maghrebian bat, Myotis punicus, in the Mediterranean Basin. Journal of Biogeography, 37(8), 1557-1569.",NA,NA,NA
125,Myotis_punicus,AllelicRichness,8,2.2,0.27,mean,Sequence length bp OR Number of markers: _microsatellites,Number_of_alleles,NA,NA,NA,NA,full_range,Biollaz et al. (2010),"Biollaz, F., Bruyndonckx, N., Beuneux, G., Mucedda, M., Goudet, J., & Christe, P. (2010). Genetic isolation of insular populations of the Maghrebian bat, Myotis punicus, in the Mediterranean Basin. Journal of Biogeography, 37(8), 1557-1569.",Range: 5.4-11.7,NA,NA
126,Myotis_punicus,NFa,54,NA,NA,Maximum,NA,Number_of_autosomal_arms,NA,NA,NA,NA,NA,Volleth and Heller (2012),"Volleth, M., & Heller, K. G. (2012). Variations on a theme: karyotype comparison in Eurasian Myotis species and implications for phylogeny. Vespertilio, 16, 329-350.",NA,NA,NA
127,Myotis_punicus,Karyotype,44,NA,NA,Maximum,NA,Number_of_chromosomes,NA,NA,NA,NA,NA,Volleth and Heller (2012),"Volleth, M., & Heller, K. G. (2012). Variations on a theme: karyotype comparison in Eurasian Myotis species and implications for phylogeny. Vespertilio, 16, 329-350.",NA,NA,NA
128,Nyctalus_azoreum,Linage,2,NA,NA,Maximum,Sequence_length_bp_OR_Number_of_markers:__CR_(324),Number_of_genetic_lineages,324,individual,NA,NA,full_range,Boston et al. (2015),"Boston, E. S., Ian Montgomery, W., Hynes, R., & ProdÃ¶hl, P. A. (2015). New insights on postglacial colonization in western Europe: the phylogeography of the Leisler's bat (Nyctalus leisleri). Proceedings of the Royal Society B: Biological Sciences, 282(1804), 20142605.",NA,NA,NA
129,Nyctalus_azoreum,GeneticPopulationStructure,2,NA,NA,Maximum,Sequence length bp OR Number of markers: _microsatellites_7,Number_of_sub-populations,NA,NA,NA,NA,Portugal-Azores,Salgueiro et al. (2008),"Salgueiro, P., Palmeirim, J. M., Ruedi, M., & Coelho, M. M. (2008). Gene flow and population structure of the endemic Azorean bat (Nyctalus azoreum) based on microsatellites: implications for conservation. Conservation Genetics, 9(5), 1163-1171.",NA,NA,NA
130,Nyctalus_azoreum,Karyotype,44,NA,NA,Maximum,NA,Number_of_chromosomes,NA,NA,NA,NA,NA,Volleth (1992),"Volleth, M. (1992). Comparative analysis of the banded karyotypes of the European Nyctalus species (Vespertilionidae, Chiroptera). Prague studies in mammalogy, 221-226.",NA,NA,NA
131,Nyctalus_lasiopterus,Linage,1,NA,NA,Maximum,"Sequence_length_bp_OR_Number_of_markers:__Cytb,_ND1",Number_of_genetic_lineages,NA,NA,NA,NA,NA,Ã‡oraman et al. (2013),"Coraman, E., Furman, A., KarataÅŸ, A., & Bilgin, R. (2013). Phylogeographic analysis of Anatolian bats highlights the importance of the region for preserving the Chiropteran mitochondrial genetic diversity in the Western Palaearctic. Conservation Genetics, 14(6), 1205-1216.",NA,NA,NA
132,Nyctalus_lasiopterus,Karyotype,44,NA,NA,Maximum,NA,Number_of_chromosomes,NA,NA,NA,NA,NA,Volleth (1992),"Volleth, M. (1992). Comparative analysis of the banded karyotypes of the European Nyctalus species (Vespertilionidae, Chiroptera). Prague studies in mammalogy, 221-226.",NA,NA,NA
133,Nyctalus_lasiopterus,NFa,50,NA,NA,Maximum,NA,Number_of_autosomal_arms,NA,NA,NA,NA,NA,Zima & HorÃ¡Äek (1985),"Zima, J. (1985). Synopsis of karyotypes of vespertilionid bats (Mammalia: Chiroptera). Acta Univ. Carol. Biol., 1981, 311-329.",NA,NA,NA
134,Nyctalus_lasiopterus,NF,54,NA,NA,Maximum,NA,Number_of_chromosomal_arms,NA,NA,NA,NA,NA,Zima & HorÃ¡Äek (1985),"Zima, J. (1985). Synopsis of karyotypes of vespertilionid bats (Mammalia: Chiroptera). Acta Univ. Carol. Biol., 1981, 311-329.",NA,NA,NA
135,Nyctalus_lasiopterus,Karyotype,42,NA,NA,Maximum,NA,Number_of_chromosomes,NA,NA,NA,NA,NA,Zima & HorÃ¡Äek (1985),"Zima, J. (1985). Synopsis of karyotypes of vespertilionid bats (Mammalia: Chiroptera). Acta Univ. Carol. Biol., 1981, 311-329.",NA,NA,NA
136,Nyctalus_leisleri,Linage,2,NA,NA,Maximum,"Sequence_length_bp_OR_Number_of_markers:__Cytb,_ND1",Number_of_genetic_lineages,NA,NA,NA,NA,NA,Ã‡oraman et al. (2013),"Coraman, E., Furman, A., KarataÅŸ, A., & Bilgin, R. (2013). Phylogeographic analysis of Anatolian bats highlights the importance of the region for preserving the Chiropteran mitochondrial genetic diversity in the Western Palaearctic. Conservation Genetics, 14(6), 1205-1216.",NA,NA,NA
138,Nyctalus_leisleri,NFa,50,NA,NA,Maximum,NA,Number_of_autosomal_arms,NA,NA,NA,NA,NA,Zima & HorÃ¡Äek (1985),"Zima, J. (1985). Synopsis of karyotypes of vespertilionid bats (Mammalia: Chiroptera). Acta Univ. Carol. Biol., 1981, 311-329.",NA,NA,NA
139,Nyctalus_leisleri,NF,54,NA,NA,Maximum,NA,Number_of_chromosomal_arms,NA,NA,NA,NA,NA,Zima & HorÃ¡Äek (1985),"Zima, J. (1985). Synopsis of karyotypes of vespertilionid bats (Mammalia: Chiroptera). Acta Univ. Carol. Biol., 1981, 311-329.",NA,NA,NA
140,Nyctalus_leisleri,Karyotype,44,NA,NA,Maximum,NA,Number_of_chromosomes,NA,NA,NA,NA,NA,Zima & HorÃ¡Äek (1985),"Zima, J. (1985). Synopsis of karyotypes of vespertilionid bats (Mammalia: Chiroptera). Acta Univ. Carol. Biol., 1981, 311-329.",NA,NA,NA
141,Nyctalus_noctula,NFa,50,NA,NA,Maximum,NA,Number_of_autosomal_arms,NA,NA,NA,NA,NA,KarataÅŸ & SÃ¶zen (2007),"KarataÅŸ, A., & SÃ¶zen, M. (2007). Karyology of three vespertilionid bats (Chiroptera: Vespertilionidae) from Turkey. Acta Zoologica Academiae Scientiarum Hungaricae, 53(2), 185-192.",NA,NA,NA
142,Nyctalus_noctula,NF,54,NA,NA,Maximum,NA,Number_of_chromosomal_arms,NA,NA,NA,NA,NA,KarataÅŸ & SÃ¶zen (2007),"KarataÅŸ, A., & SÃ¶zen, M. (2007). Karyology of three vespertilionid bats (Chiroptera: Vespertilionidae) from Turkey. Acta Zoologica Academiae Scientiarum Hungaricae, 53(2), 185-192.",NA,NA,NA
143,Nyctalus_noctula,Karyotype,42,NA,NA,Maximum,NA,Number_of_chromosomes,NA,NA,NA,NA,NA,KarataÅŸ & SÃ¶zen (2007),"KarataÅŸ, A., & SÃ¶zen, M. (2007). Karyology of three vespertilionid bats (Chiroptera: Vespertilionidae) from Turkey. Acta Zoologica Academiae Scientiarum Hungaricae, 53(2), 185-192.",NA,NA,NA
144,Nyctalus_noctula,Linage,3,NA,NA,Maximum,"Sequence_length_bp_OR_Number_of_markers:__CR,_ND1_(1245)",Number_of_genetic_lineages,1245,individual,NA,NA,Europe,Petit et al. (1999),"Petit, E., Excoffier, L., & Mayer, F. (1999). No evidence of bottleneck in the postglacial recolonization of Europe by the noctule bat (Nyctalus noctula). Evolution, 53(4), 1247-1258.",NA,NA,NA
145,Nyctalus_noctula,CompleteMitochondrialGenome(bp),17478,NA,NA,Maximum,NA,base_pairs,NA,NA,NA,NA,NA,Qian et al. (2016),"Qian, K., Yu, D., Cheng, H., Storey, K. B., & Zhang, J. (2016). The complete mitochondrial genome of Nyctalus noctula (Chiroptera: Vespertilionidae). Mitochondrial DNA Part A, 27(4), 2365-2366.",NA,NA,NA
146,Pipistrellus_kuhlii,GeneticPopulationStructure,3,NA,NA,Maximum,Sequence length bp OR Number of markers: _microsatellites_5,Number_of_sub-populations,NA,NA,NA,NA,"Europe, North_africa",Andriollo et al. (2015),"Andriollo, T., Naciri, Y., & Ruedi, M. (2015). Two mitochondrial barcodes for one biological species: The case of European Kuhl's Pipistrelles (Chiroptera). PloS one, 10(8), e0134881.",NA,NA,NA
147,Pipistrellus_kuhlii,AllelicRichness,10,4.2,0.41,mean,Sequence length bp OR Number of markers: _microsatellites,Number_of_alleles,NA,NA,NA,NA,"Europe, North_africa",Andriollo et al. (2015),"Andriollo, T., Naciri, Y., & Ruedi, M. (2015). Two mitochondrial barcodes for one biological species: The case of European Kuhl's Pipistrelles (Chiroptera). PloS one, 10(8), e0134881.",Range: 7.27-13.29,NA,NA
148,Pipistrellus_kuhlii,Linage,3,NA,NA,Maximum,"Sequence_length_bp_OR_Number_of_markers:__Cytb,_ND1",Number_of_genetic_lineages,NA,NA,NA,NA,full_range,Bray et al. (2013),"Bray, T. C., Mohammed, O. B., & Alagaili, A. N. (2013). Phylogenetic and demographic insights into Kuhlâ€™s Pipistrelle, Pipistrellus kuhlii, in the Middle East. PloS one, 8(2), e57306.",NA,NA,NA
149,Pipistrellus_kuhlii,Linage,3,NA,NA,Maximum,"Sequence_length_bp_OR_Number_of_markers:__Cytb,_ND1",Number_of_genetic_lineages,NA,NA,NA,NA,full_range,Ã‡oraman et al. (2013),"Coraman, E., Furman, A., KarataÅŸ, A., & Bilgin, R. (2013). Phylogeographic analysis of Anatolian bats highlights the importance of the region for preserving the Chiropteran mitochondrial genetic diversity in the Western Palaearctic. Conservation Genetics, 14(6), 1205-1216.",NA,NA,NA
150,Pipistrellus_kuhlii,GenomeSize_(Gb),2,NA,NA,Maximum,NA,Giga_base_pairs,NA,NA,NA,NA,NA,Jebb et al. (2020),"Jebb, D., Huang, Z., Pippel, M., Hughes, G. M., Lavrichenko, K., Devanna, P., ... & Teeling, E. C. (2020). Six reference-quality genomes reveal evolution of bat adaptations. Nature, 583(7817), 578-584.",NA,NA,NA
151,Pipistrellus_kuhlii,CompleteMitochondrialGenome(bp),16991,NA,NA,Maximum,NA,base_pairs,NA,NA,NA,NA,NA,Locatelli et al. (2016),"Locatelli, A. G., Jebb, D., & Teeling, E. C. (2016). The complete mitochondrial genome of Kuhlâ€™s pipistrelle, Pipistrellus kuhlii (Chiroptera: Vespertilionidae). Mitochondrial DNA Part B, 1(1), 423-424.",NA,NA,NA
152,Pipistrellus_kuhlii,NF,50,NA,NA,Maximum,NA,Number_of_chromosomal_arms,NA,NA,NA,NA,NA,Oâ€™Brien et al. (2006),"O'Brien, S. J., Menninger, J. C., & Nash, W. G. (Eds.). (2006). Atlas of mammalian chromosomes. John Wiley & Sons.",NA,NA,NA
153,Pipistrellus_kuhlii,NFa,54,NA,NA,Maximum,NA,Number_of_autosomal_arms,NA,NA,NA,NA,NA,Oâ€™Brien et al. (2006),"O'Brien, S. J., Menninger, J. C., & Nash, W. G. (Eds.). (2006). Atlas of mammalian chromosomes. John Wiley & Sons.",NA,NA,NA
154,Pipistrellus_kuhlii,Karyotype,44,NA,NA,Maximum,NA,Number_of_chromosomes,NA,NA,NA,NA,NA,Oâ€™Brien et al. (2006),"O'Brien, S. J., Menninger, J. C., & Nash, W. G. (Eds.). (2006). Atlas of mammalian chromosomes. John Wiley & Sons.",NA,NA,NA
